ID,PRONOUN,CONCEPT,DESCRIPTION,AUTHOR_LAST,AUTHOR_FIRST,CITATION,LNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,poison,the coward's weapon.,Fletcher,Phineas,The Ultimate Dictionary of Wit and Wisdom. Gerde de Ley.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,the,sonnet,that whose subject should strain the ambit of the form.,Finnegan,Jim,Ursprache Blog http://ursprache.blogspot.com/,The subject of a sonnet should strain the ambit of the form.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,maturity,the capacity to endure uncertainty.,Finley,John,The Ultimate Dictionary of Wit and Wisdom. Gerde de Ley.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,jazz,like whisky: you have to be a certain age before you can swallow it without wincing.,Finn,Neil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a,broken heart,"a distemper which kills many more than is generally imagined, and would have a fair title to a place in the bills of mortality, did it not differ in one instance from all other diseases, namely, that no physicians can cure it.",Fielding,Henry,"40,000 Quotations","A broken heart is a distemper which kills many more than is generally imagined, and would have a fair title to a place in the bills of mortality, did it not differ in one instance from all other diseases, namely, that no physicians can cure it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,prudence,"a duty which we owe ourselves, and if we will be so much our own enemies as to neglect it, we are not to wonder if the world is deficient in discharging their duty to us; for when a man lays the foundation of his own ruin, others too often are apt to build upon it.",Fielding,Henry,Forty-Thousand Quotations,"Prudence is a duty which we owe ourselves, and if we will be so much our own enemies as to neglect it, we are not to wonder if the world is deficient in discharging their duty to us; for when a man lays the foundation of his own ruin, others too often are apt to build upon it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a,baby,a bald head and a pair of lungs,Field,Eugene,Dictionary of Wit and Satire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,motherhood,"mentorship, it is inspirational, and it is our hope for the future.",Field,Sally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,thriller,an extension of the fairy tale.,Chandler,Raymond,The Ultimate Dictionary of Wit and Wisdom. Gerde de Ley.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,chess,as elaborate a waste of human intelligence as you can find outside and advertising agency.,Chandler,Raymond,The Ultimate Dictionary of Wit and Wisdom. Gerde de Ley.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,liberty,"one of the choicest gifts that heaven hath bestowed upon man, and exceeds in value all the treasures which the earth contains within its bosom, or the sea covers. Liberty, as well as honor, man ought to preserve at the hazard of bis life, for without it life is insupportable.",Cervantes,Miguel de,Forty-Thousand Quotations,"Liberty is one of the choicest gifts that heaven hath bestowed upon man, and exceeds in value all the treasures which the earth contains within its bosom, or the sea covers. Liberty, as well as honor, man ought to preserve at the hazard of bis life, for without it life is insupportable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sleep,the best cure for waking troubles.,Cervantes,Miguel de,Forty-Thousand Quotations,Sleep is the best cure for waking troubles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,the,proverb,the unwritten law of how to be and how to see.,Castro,Michael,The Ultimate Dictionary of Wit and Wisdom. Gerde de Ley.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,soccer,a sport where the worst blindness is only seeing the ball.,Rodrigues,Nelson,,"In soccer, the worst blindness is only seeing the ball.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,politics,a perpetual emergency.,Roeder,Ralph,Dictionary of Wit and Satire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,congress,a group that the country has come to feel the same about as a baby getting hold of a hammer,Rogers,Will,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,myth,a belief so arranged so that all new information confirms it.,Ritman,Tom,The Ultimate Dictionary of Wit and Wisdom. Gerde de Ley.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
